,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.029159922171110852,0.023809523809523808
ranker 2,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.07370755775454699,0.16666666666666666
ranker 3,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.01275011394201303,0.09523809523809523
ranker 4,-26.19047619047619,-26.19047619047619,-26.19047619047619,-0.06932070248963196,0.30952380952380953
ranker 5,-42.857142857142854,-26.19047619047619,-26.19047619047619,0.05307517875411555,0.38095238095238093
ranker 6,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.09126875313664018,0.07142857142857142
ranker 7,-42.857142857142854,-42.857142857142854,7.142857142857146,0.034799607677158784,0.16666666666666666
ranker 8,-42.857142857142854,-26.19047619047619,7.142857142857146,-0.022008611184426763,0.30952380952380953
ranker 9,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.08859981718671808,0.30952380952380953
ranker 10,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.09414453211506207,0.2857142857142857
ranker 11,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10192128897201636,0.09523809523809523
ranker 12,-42.857142857142854,-42.857142857142854,7.142857142857146,0.006941113111889774,0.5
