,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC1,MC2Fair,MC2,MC3Fair,MC3
M01,2,7,7,7,8,7,6,7,7,7,7,1,7,1,7,1,7
M02,3,8,8,8,9,9,7,9,8,9,9,3,9,2,8,3,9
M03,5,9,9,9,10,8,8,8,9,8,8,4,10,3,9,9,10
M04,6,10,10,10,12,13,9,13,12,10,10,12,12,4,10,11,11
M05,8,11,11,12,11,10,10,10,11,11,11,9,11,9,12,12,12
M06,9,12,12,11,7,11,10,11,10,12,12,2,8,8,11,2,8
M07,10,13,13,13,13,12,11,12,13,13,13,13,13,13,13,13,13
M08,12,14,14,14,14,14,12,14,14,14,14,14,14,14,14,14,14
M09,13,15,15,15,16,15,13,15,17,15,15,17,16,15,15,16,16
M10,15,16,16,16,17,16,14,16,18,16,16,16,17,16,16,17,17
M11,16,18,18,18,19,18,15,18,19,17,17,20,20,17,17,18,18
M12,18,17,17,17,15,17,15,17,16,18,18,15,15,18,18,15,15
M13,19,19,19,19,20,19,16,19,20,19,19,19,19,19,19,19,19
M14,20,20,20,20,18,20,17,20,15,20,20,18,18,20,20,20,20
W01,1,1,1,1,1,1,1,1,4,1,1,5,1,5,1,4,1
W02,17,2,2,2,2,4,2,2,1,2,2,6,4,6,3,6,2
W03,4,3,3,3,3,2,2,3,2,3,3,8,3,7,2,5,3
W04,7,4,4,4,4,3,3,4,3,4,4,7,2,10,4,7,4
W05,11,6,6,6,6,6,4,6,6,6,5,11,6,11,5,10,6
W06,14,5,5,5,5,5,5,5,5,5,6,10,5,12,6,8,5
